ObservationDate,Province/State,Country/Region,Confirmed,Deaths
289,,Afghanistan,49427078,1244026
290,,Afghanistan,49938363,1251588
291,,Afghanistan,50504054,1257328
292,,Afghanistan,50971959,1264436
293,,Afghanistan,51532826,1274462
294,,Afghanistan,52178234,1284905
295,,Afghanistan,52825569,1294854
296,,Afghanistan,53474692,1304407
297,,Afghanistan,54068629,1313399
298,,Afghanistan,54542282,1319659
299,,Afghanistan,55070596,1327498
300,,Afghanistan,55679562,1338606
301,,Afghanistan,56303633,1349933
302,,Afghanistan,56954400,1360914
303,,Afghanistan,57620257,1372752
304,,Afghanistan,58206592,1381536
305,,Afghanistan,58690865,1388596
306,,Afghanistan,59212561,1396910
307,,Afghanistan,59800864,1409688
308,,Afghanistan,60433909,1421745
309,,Afghanistan,61015223,1432486
310,,Afghanistan,61687540,1443107
311,,Afghanistan,62286241,1452849
312,,Afghanistan,62772954,1459768
313,,Afghanistan,63278864,1468455
314,,Afghanistan,63883823,1481303
315,,Afghanistan,64530355,1493739
316,,Afghanistan,65220876,1506257
317,,Afghanistan,65899277,1518667
318,,Afghanistan,66539870,1528865
319,,Afghanistan,67073564,1536053
